名称,大类,经度,纬度,省份,地级市,区县,lon_round,lat_round,cell
裕东苑,交通设施,113.946319,22.283073,香港特别行政区,香港特别行政区,离岛区,113.946,22.283,113.946_22.283
裕东苑，顺东路,交通设施,113.946157,22.283185,香港特别行政区,香港特别行政区,离岛区,113.946,22.283,113.946_22.283
Cycle Parking Place,交通设施,113.945957,22.284943,香港特别行政区,香港特别行政区,离岛区,113.946,22.285,113.946_22.285
路边电单车泊车位,交通设施,113.946247,22.285357,香港特别行政区,香港特别行政区,离岛区,113.946,22.285,113.946_22.285
东涌地铁站A出入口,交通设施,113.945902,22.285721,香港特别行政区,香港特别行政区,离岛区,113.946,22.286,113.946_22.286
东涌地铁站B出入口,交通设施,113.945677,22.28605,香港特别行政区,香港特别行政区,离岛区,113.946,22.286,113.946_22.286
东荟城,交通设施,113.946051,22.287204,香港特别行政区,香港特别行政区,离岛区,113.946,22.287,113.946_22.287
"东荟城,达东路",交通设施,113.946403,22.286943,香港特别行政区,香港特别行政区,离岛区,113.946,22.287,113.946_22.287
东荟城南面停车场,交通设施,113.945999,22.287148,香港特别行政区,香港特别行政区,离岛区,113.946,22.287,113.946_22.287
东荟城名店仓地下专用停车场,交通设施,113.945803,22.287309,香港特别行政区,香港特别行政区,离岛区,113.946,22.287,113.946_22.287
东荟城名店仓地下停车场,交通设施,113.945843,22.28729,香港特别行政区,香港特别行政区,离岛区,113.946,22.287,113.946_22.287
东荟城地下停车场商场,交通设施,113.946236,22.286539,香港特别行政区,香港特别行政区,离岛区,113.946,22.287,113.946_22.287
香港机场5号专用停车场,交通设施,113.946456,22.311687,香港特别行政区,香港特别行政区,离岛区,113.946,22.312,113.946_22.312
亚洲国际博览馆货车调度区,交通设施,113.945773,22.318237,香港特别行政区,香港特别行政区,离岛区,113.946,22.318,113.946_22.318
伯公坳,交通设施,113.947087,22.246801,香港特别行政区,香港特别行政区,离岛区,113.947,22.247,113.947_22.247
赤立角新村,交通设施,113.946589,22.274238,香港特别行政区,香港特别行政区,离岛区,113.947,22.274,113.947_22.274
富东A专用停车场,交通设施,113.94716,22.283657,香港特别行政区,香港特别行政区,离岛区,113.947,22.284,113.947_22.284
富东专用停车场,交通设施,113.946993,22.284231,香港特别行政区,香港特别行政区,离岛区,113.947,22.284,113.947_22.284
富东村专用停车场,交通设施,113.94677,22.285385,香港特别行政区,香港特别行政区,离岛区,113.947,22.285,113.947_22.285
东涌地铁站D出入口,交通设施,113.946788,22.286435,香港特别行政区,香港特别行政区,离岛区,113.947,22.286,113.947_22.286
富东广场,交通设施,113.946841,22.285908,香港特别行政区,香港特别行政区,离岛区,113.947,22.286,113.947_22.286
富东广场，达东路,交通设施,113.946789,22.285985,香港特别行政区,香港特别行政区,离岛区,113.947,22.286,113.947_22.286
香富东广场，达东路,交通设施,113.946839,22.285954,香港特别行政区,香港特别行政区,离岛区,113.947,22.286,113.947_22.286
东涌地铁站C出入口,交通设施,113.94661,22.28672,香港特别行政区,香港特别行政区,离岛区,113.947,22.287,113.947_22.287
